BEYCHAC ET CAILLAU;LATRESNE;Laura NAVARRO
MARIGNIER;FAUCIGNY;Eva WEBER
ECLANCE;ROLAMPONT;Evgeniy SMITH
CAUBON ST SAUVEUR;VAUSSEROUX;Tatiana RODRIGUEZ
GIRAUVOISIN;BITSCHWILLER LES THANN;Anna KUZNETSOVA
BAULOU;MONTFA;Yvan NIELSEN
ROCHEFORT;SOUBISE;Andreas SCHÄFER
CAMOU CIHIGUE;OSSAS SUHARE;Angela JOHANSSON
ST PRIEST DES CHAMPS;ESPINASSE;Valentyna SCHMID
SCORBE CLAIRVAUX;CHABOURNAY;Anton VASILEVA
PELUSSIN;ST SAUVEUR EN RUE;Petra HERNANDEZ
ST GERMAIN DE JOUX;COTEAUX DU LIZON;Aleksandr DIAZ
ST LEON;ANZEX;Aleksandra JIMENEZ
GUEURES;LONGUEIL;Ivan RICHTER
ROUILLE;PAMPROUX;Olha GOMEZ
ST ANDRE DE CUBZAC;BELIN BELIET;Claude SCHMIDT
MONTJOIE ST MARTIN;HAMELIN;Dmitriy MORENO
CELLE;CHOUE;Sergey NAGY
VIRARGUES;ST ETIENNE LA GENESTE;Mikhail IVANOV
BARGEMON;MONS;Roman ZIMMERMANN
ST SIMEON;SELLES;Valentyna POPOVA
CAMIRAN;TALENCE;Robert ROBERTS
PEINTRE;VILLETTE LES DOLE;Tatyana WAGNER
GENERAC;MAZION;Wolfgang MORENO
MONTAURIOL;TORDERES;Mariya PAVLOVA
BRIAUCOURT;KEMBS;Irina JONES
LE PLESSIS ROBINSON;JOUY EN JOSAS;Robert BROWN
LE MEIX TIERCELIN;DAMPIERRE;Juan WOLF
LA PENNE;PUGET THENIERS;Andrei HERNANDEZ
LASSERRE;MONCRABEAU;Anton SANTOS
IZAUX;LORTET;Vasylyi SANTOS
ST JEAN DE BLAIGNAC;BELLEFOND;Hans GOMEZ
GERM;GOUAUX DE LARBOUST;Mario WOLF
CHERBOURG EN COTENTIN;SAUSSEMESNIL;Wolfgang MUÑOZ
LE MOUTARET;ST ANTOINE L ABBAYE;Andrey THOMAS
EPIERRE;ARGENTINE;Andreas COSTA
VIEUX FERRETTE;HEIDWILLER;Valentyna MAGOMEDOV
PUY ST PIERRE;ST JEAN D ARVES;Marie PEREZ
BRENAS;OCTON;Daniel PEREZ
ST MARTIN DE PALLIERES;BRUE AURIAC;David JOHANSSON
ST ETIENNE DES CHAMPS;LA VILLENEUVE;Natalya MARIN
ST LOUP TERRIER;PUISEUX;Klaus NAGY
VILLEPINTE;CARLIPA;Francisco JOHNSON
USCLAS D HERAULT;NIZAS;Jose NAVARRO
RAISSAC D AUDE;OUPIA;Juan WEBER
IZEAUX;VOUREY;Denis NOVIKOVA
FONTENILLE ST MARTIN ENTRAIGUES;ST ROMANS DES CHAMPS;Elena SCHULZ
VAL BUECH MEOUGE;LEZAN;Vasylyi IVANOV
ST MICHEL;MERIGNAC;Vera PETROV
LA CLISSE;NIEUL LES SAINTES;Mária WILSON
ST VINCENT DU PENDIT;BELMONT BRETENOUX;Elisabeth BROWN
ACY ROMANCE;SAULT LES RETHEL;Mariya HOFFMANN
SOUILLY;LAIX;Roman WEBER
QUINTAL;CHILLY;Christine PETROV
FAY LES ETANGS;BEZONS;Igor BONDARENKO
VARS;VENDAYS MONTALIVET;Peter JONES
STE COLOMBE SUR GAND;ST PRIEST LA PRUGNE;Roman NIELSEN
BERNECOURT;SEICHEPREY;Valentyna SMIRNOVA
HINSBOURG;ST JEAN SAVERNE;Mikhail DAVIES
MONTREVERD;LES BROUZILS;Martin DAVIES
SALLES MONGISCARD;SALIES DE BEARN;Anna VASILEVA
CANAULES ET ARGENTIERES;EUZET;Brigitte TAYLOR
TERMES D ARMAGNAC;ITXASSOU;Antonio PEREIRA
GUERFAND;STE MARIE LA BLANCHE;Antonio HANSEN
LE BOUCHAGE;CHATONNAY;Nikolay TAYLOR
BLAMONT;CIREY SUR VEZOUZE;Marta FERREIRA
CHATENAY;LA BUISSE;Jan VASILEVA
BOUZANVILLE;OELLEVILLE;Francisco SCHMID
ARTEMARE;TALISSIEU;Sergey NAGY
JUJOLS;RAILLEU;Sandra KOVÁCS
URBANYA;CATLLAR;Vasylyi ROMERO
LEZ FONTAINE;BOUSIGNIES SUR ROC;Andrey ANDERSSON
ROQUESSELS;CARLENCAS ET LEVAS;Maryia JENSEN
POUSTHOMY;ST MARTIN DE L ARCON;Sergey DIAZ
ESSOUVERT;ARCHINGEAY;Olga NOVIKOVA
SOUTERNON;EPERCIEUX ST PAUL;Antonio GONZALEZ
CORNILLON EN TRIEVES;CAVAILLON;Nadezhda SOKOLOVA
RODEREN;ST MAURICE SUR MOSELLE;Nadezhda ROBERTS
TALIZAT;ST JUST PRES BRIOUDE;Svetlana SIMON
VAUDESINCOURT;GRATREUIL;Angela JOHANSSON
TORCE;DENAZE;Patrick GOMEZ
LA TUILIERE;ST VICTOR MONTVIANEIX;Elena EVANS
GAPENNES;EPAGNE EPAGNETTE;Andrey JOHANSSON
MONTADY;MAUREILHAN;Robert THOMAS
FENERY;BOUSSAIS;Marie KOCH
BESSAY;THIRE;Peter RUIZ
BOUQUETOT;LA TRINITE DE THOUBERVILLE;Mariya MILLER
ETALONDES;PONTS ET MARAIS;Aleksey PETROVA
CARLY;WIDEHEM;David BONDARENKO
BOINVILLIERS;LA QUEUE LES YVELINES;Karin TÓTH
LA CHARITE SUR LOIRE;ST LAURENT L ABBAYE;Karin WEBER
MUNSTER;BLANCHE EGLISE;John NOVIKOVA
ST BONNET LES ALLIER;ESTANDEUIL;Sandra WILSON
MAZEROLLES DU RAZES;SEIGNALENS;Alina RICHTER
SERRIERES;BEAUJEU;Olga DIAZ
RICHTOLSHEIM;GRUSSENHEIM;Andreas KOVALENKO
ANNOISIN CHATELANS;ST SORLIN DE MORESTEL;Aleksandr SMITH
BEAUMONT LA FERRIERE;ROGNY LES SEPT ECLUSES;Michael RUIZ
PIGNANS;GONFARON;Nadezhda SHEVCHENKO
CANET;ST BAUZILLE DE LA SYLVE;Manfred HERNANDEZ
SUSSARGUES;PARIGNARGUES;Francesco IVANOVA
FLERE LA RIVIERE;BUZANCAIS;Olga KRAVCHENKO
NUAILLE SUR BOUTONNE;VILLENEUVE LA COMTESSE;Evgeniy SCHMIDT
SAMMERON;SUIZY LE FRANC;Dmitriy POPOVA
STE RADEGONDE DES NOYERS;PUYRAVAULT;Christian FERNANDEZ
ETERPIGNY;LECLUSE;Francesco MARTIN
JANS;SION LES MINES;Klaus RICHTER
COUSSAN;AUBAREDE;John WILSON
BEDOIN;REILHANETTE;Olha JOHANSSON
BALIZAC;GISCOS;Tomasz TAYLOR
LEPIN LE LAC;LA BAUCHE;Darya MARIN
EMANVILLE;BOIS GUILLAUME;Andrea SMIRNOVA
MEYSSAC;MARCILLAC LA CROZE;John PAVLOVA
EYZIN PINET;LA CHAPELLE SOUS DUN;Karin POPOVA
FONTES;ILE D OUESSANT;Olha KUZNETSOVA
LUCY LE BOIS;VIERZON;Olga WILLIAMS
LA NOE POULAIN;ST SIMEON;Vera HUBER
MOISENAY;LISSY;Oksana LOPEZ
CLUSSAIS LA POMMERAIE;ST COUTANT;Marta COSTA
GRESSE EN VERCORS;ST JACQUES EN VALGODEMARD;Jan RUIZ
CASTAGNEDE;ORAAS;Rosa MARTIN
DURBAN;ESTRAMIAC;Yvan SANTOS
PAREY SOUS MONTFORT;OFFROICOURT;Robert SMIRNOV
MAILHAC;AIGUES VIVES;Richard DIAZ
WITRY LES REIMS;NOGENT L ABBESSE;Barbara POPOVA
TREVILLE;VERDUN EN LAURAGAIS;Mária WAGNER
MUSSIDAN;ST CHRISTOLY DE BLAYE;Anna GARCIA
ST BRIAC SUR MER;ST JACUT DE LA MER;Francisco BAUER
ENTRE DEUX GUIERS;ST LAURENT DU PONT;Eva BAUER
ST PIERRE SUR ERVE;CHEMERE LE ROI;Irina SOKOLOVA
ST BRICE SOUS RANES;LE MENIL SCELLEUR;Ekaterina HERNANDEZ
